State,Percentage Affected by Smoking,Percentage Affected by Obesity,Percentage Affected by No Excercise,Area,Cancer Type,Duration,Sex,Race,Prevalence Count,Prevalence Percentage
Oregon,43.12,30.59,19.29,Oregon,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,74143,1.76538224
Pennsylvania,42.86,31.77,23.99,Pennsylvania,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,259795,2.02901516
Rhode Island,42.16,28.41,25.34,Rhode Island,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,21404,2.0216331
South Carolina,43.59,34.95,26.73,South Carolina,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,89602,1.74843337
South Dakota,44.17,30.87,23.99,South Dakota,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,Data Suppressed,Data Suppressed
Tennessee,45.49,34.91,30.88,Tennessee,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,119904,1.7621921
Texas,36.08,35.51,25.61,Texas,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,380942,1.32245451
Utah,24.95,28.41,17.49,Utah,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,39271,1.23522144
Vermont,44.05,28.22,18.93,Vermont,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,13064,2.09216814
Virginia,37.78,31.23,21.95,Virginia,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,Data Suppressed,Data Suppressed
Washington,38.11,29.57,17.56,Washington,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,126751,1.67429538
West Virginia,49.54,39.98,28.2,West Virginia,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,37711,2.09434813
Wisconsin,42.72,32.93,21.77,Wisconsin,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,112594,1.93561918
Wyoming,45.14,29.71,21.67,Wyoming,All Types of Cancer,5-year Limited Duration,Male and Female,All Races and Ethnicities,9656,1.66601965
